¸ú×ÙÂ·¾¶3
X(mm), Y(mm), Z(mm)
-2165.20157048268, -1403.96121581644, -108.998261011058
-2154.19665041812, -1403.53989213481, -108.981373282007
-2143.19059323079, -1403.14945491873, -108.962506810005
-2132.18349545189, -1402.78965522469, -108.941677891495
-2121.17544981136, -1402.46025455253, -108.91890214026
-2110.16654685377, -1402.16102436885, -108.894194524323
-2099.1568749864, -1401.89174560517, -108.867569398213
-2088.14652060813, -1401.65220819189, -108.839040533268
-2077.1355682305, -1401.44221062206, -108.808621146
-2066.12410059041, -1401.26155954255, -108.776323924674
-2055.11219875535, -1401.11006937066, -108.742161054237
-2044.09994222176, -1400.98756193405, -108.70614423972
-2033.08740900704, -1400.89386613243, -108.668284728229
-2022.07467573575, -1400.82881761941, -108.628593329628
-2011.06181772041, -1400.79225850276, -108.587080436013
-2000.04890903736, -1400.78403706221, -108.543756040062
-1989.03602259796, -1400.8040074832, -108.498629752324
-1978.02323021566, -1400.85202960551, -108.451710817564
-1967.01060266898, -1400.927968686, -108.403008130173
-1955.99820976093, -1401.0316951742, -108.352530248751
-1944.98612037507, -1401.16308449994, -108.300285409904
-1933.97440252827, -1401.32201687247, -108.246281541292
-1922.96312342072, -1401.50837708995, -108.190526274011
-1911.95234948309, -1401.72205435897, -108.13302695431
-1900.94214642114, -1401.96294212319, -108.073790654726
-1889.93257925806, -1402.2309379007, -108.012824184645
-1878.92371237446, -1402.52594312953, -107.950134100341
-1867.91560954642, -1402.84786302068, -107.885726714516
-1856.90833398147, -1403.19660641843, -107.819608105376
-1845.9019483529, -1403.57208566726, -107.751784125272
-1834.89651483221, -1403.97421648513, -107.682260408929
-1823.89209512015, -1404.40291784273, -107.611042381287
-1812.8887504761, -1404.85811184832, -107.538135264983
-1801.88654174613, -1405.33972363779, -107.463544087485
-1790.88552938979, -1405.84768126976, -107.387273687906
-1779.88577350552, -1406.38191562535, -107.309328723511
-1768.88733385504, -1406.94236031238, -107.229713675937
-1757.89026988656, -1407.52895157373, -107.148432857147
-1746.89464075697, -1408.14162819968, -107.065490415114
-1735.90050535306, -1408.78033144398, -106.980890339276
-1724.90792231183, -1409.44500494347, -106.894636465755
-1713.91695003992, -1410.13559464101, -106.806732482355
-1702.92764673224, -1410.85204871162, -106.717181933363
-1691.94007038975, -1411.59431749162, -106.625988224148
-1680.95427883663, -1412.36235341057, -106.533154625574
-1669.97032973662, -1413.15611092603, -106.438684278243
-1658.98828060884, -1413.97554646073, -106.342580196572
-1648.00818884284, -1414.82061834227, -106.244845272701
-1637.0301117132, -1415.69128674517, -106.145482280263
-1626.05410639346, -1416.587513635, -106.044493878007
-1615.08022996956, -1417.50926271471, -105.941882613284
-1604.10853945281, -1418.45649937288, -105.837650925401
-1593.13909179228, -1419.42919063392, -105.731801148862
-1582.17194388685, -1420.42730510998, -105.624335516483
-1571.20715259673, -1421.45081295472, -105.515256162394
-1560.24477475465, -1422.49968581854, -105.404565124949
-1549.28486717654, -1423.57389680554, -105.292264349515
-1538.32748667194, -1424.67342043181, -105.178355691182
-1527.37269005401, -1425.79823258527, -105.062840917369
-1516.4205341492, -1426.94831048677, -104.945721710348
-1505.47107580657, -1428.12363265251, -104.826999669686
-1494.52437190684, -1429.32417885771, -104.7066763146
-1483.58047937108, -1430.54993010145, -104.584753086243
-1472.63945516921, -1431.80086857258, -104.46123134991
-1461.70135632809, -1433.0769776168, -104.336112397183
-1450.76623993949, -1434.37824170471, -104.209397447997
-1439.83416316769, -1435.7046464008, -104.081087652659
-1428.90518325692, -1437.05617833351, -103.951184093786
-1417.97935753852, -1438.43282516603, -103.819687788202
-1407.0567434379, -1439.83457556809, -103.686599688772
-1396.1373984813, -1441.26141918851, -103.551920686178
-1385.22138030225, -1442.71334662855, -103.415651610651
-1374.30874664802, -1444.19034941599, -103.277793233654
-1363.39955538566, -1445.69241998002, -103.138346269509
-1352.49386450803, -1447.21955162671, -102.997311376991
-1341.59173213955, -1448.77173851524, -102.854689160869
-1330.69321654182, -1450.3489756347, -102.710480173413
-1319.79837611909, -1451.95125878153, -102.564684915855
-1308.90726942351, -1453.57858453757, -102.417303839813
-1298.01995516031, -1455.23095024863, -102.268337348685
-1287.13649219275, -1456.90835400361, -102.117785799001
-1276.256939547, -1458.61079461416, -101.965649501742
-1265.38135641682, -1460.33827159482, -101.811928723627
-1254.50980216811, -1462.09078514365, -101.656623688374
-1243.64233634341, -1463.86833612328, -101.499734577923
-1232.77901865979, -1465.67092600503, -101.341261536006
-1221.91982661991, -1467.4980717641, -101.181235347242
-1211.06430091096, -1469.34676133785, -101.019846709207
-1200.21182955136, -1471.21320299076, -100.857335547066
-1189.36179060089, -1473.09365869531, -100.693938313417
-1178.51355561916, -1474.98443872334, -100.529888347747
-1167.66649274997, -1476.88189586789, -100.365416258057
-1156.81996966256, -1478.78241979252, -100.200750293747
-1145.97335637645, -1480.68243151126, -100.036116709707
-1135.1260279968, -1482.57837800291, -99.8717401214437
-1124.27736738597, -1484.46672696036, -99.7078438513401
-1113.42676779566, -1486.34396167795, -99.5446502659247
-1102.57363548273, -1488.20657607855, -99.3823811041494
-1091.7173923309, -1490.05106988314, -99.2212577965817
-1080.85747849941, -1491.87394392626, -99.0615017753786
-1069.99335511909, -1493.67169562207, -98.9033347748243
-1059.12450705516, -1495.44081458684, -98.7469791221355
-1048.25044575565, -1497.17777842513, -98.5926580181431
-1037.37071220321, -1498.87904868913, -98.4405958073192
-1026.48487998768, -1500.54106702233, -98.2910182364988
-1015.59255851762, -1502.16025151258, -98.1441527007772
-1004.69347467461, -1503.73353691197, -98.0001940386072
-993.787673294722, -1505.25983890291, -97.8592117364222
-982.87527537891, -1506.73852408678, -97.7212467618722
-971.956408766592, -1508.16895046732, -97.5863406593862
-961.031208508303, -1509.55046734405, -97.4545355584637
-950.099817112588, -1510.88241523177, -97.3258741798063
-939.162384804342, -1512.16412578528, -97.2003998411576
-928.219069791211, -1513.39492173037, -97.0781564627735
-917.270038538232, -1514.57411680167, -96.9591885724901
-906.315466050772, -1515.70101568775, -96.8435413103591
-895.355536165883, -1516.77491398413, -96.7312604328093
-884.390441852115, -1517.79509815489, -96.6223923162966
-873.420385517836, -1518.76084550342, -96.5169839604015
-862.445579328103, -1519.67142415297, -96.415082990331
-851.466245530077, -1520.5260930379, -96.3167376587769
-840.482616786965, -1521.32410190613, -96.2219968470877
-829.494936520466, -1522.06469133374, -96.1309100656967
-818.503459261636, -1522.74709275264, -96.0435274537541
-807.508451010072, -1523.37052849193, -95.9598997779122
-796.51018960129, -1523.93421183401, -95.8800784301997
-785.508965082104, -1524.43734708643, -95.804115424926
-774.505080093826, -1524.87912967035, -95.732063394553
-763.498850262985, -1525.25874622668, -95.663975584465
-752.490604599298, -1525.57537474099, -95.5999058465687
-741.480685900517, -1525.82818468829, -95.5399086316545
-730.469451163729, -1526.01633719872, -95.4840389804399
-719.457272002655, -1526.13898524547, -95.4323525132208
-708.444535070403, -1526.19527385606, -95.3849054180511
-697.43164248705, -1526.18434034808, -95.341754437375
-686.419012271394, -1526.10531459101, -95.3029568530124
-675.407078776113, -1525.95731929501, -95.2685704694323
-664.396293125474, -1525.73947032825, -95.2386535952126
-653.38712365468, -1525.450877064, -95.2132650226036
-642.380056349832, -1525.09064275885, -95.192464005104
-631.375595287365, -1524.6578649634, -95.1763102329608
-620.374263071783, -1524.15163596679, -95.1648638064989
-609.376601270324, -1523.57104327634, -95.1581852071925
-598.383170843139, -1522.91517013377, -95.1563352663836
-587.394552567452, -1522.18309606909, -95.159375131566
-576.41134745401, -1521.37389749361, -95.1673662301383
